time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
1.650932789,11.832547,3.483914137,17.27995,20.395563,16.268232,17.148443,178.83014,178.3421021,175.7978363,176.0411,169.07394,174.5579,173.5561,173.58594
1.700962305,12.323057,3.191200256,17.146116,19.219816,16.78352,17.54381,179.33705,177.5102844,175.9761047,175.77307,167.32056,174.37158,173.91388,171.65244
1.750942707,11.737169,3.925256491,17.704924,19.439629,17.21208,17.948368,179.35896,177.3611298,176.2567444,175.67906,166.46754,172.93944,174.52284,173.18922
1.799911737,8.842602,4.371793747,21.280087,20.300701,17.504236,18.01176,179.08699,177.2324524,176.3830566,175.58034,168.55869,171.28964,176.54033,174.19844
1.84997654,0.49574557,5.515691757,26.658201,43.863773,17.434763,16.93638,176.51534,178.2685394,175.199585,175.51405,175.47604,165.81425,173.8942,151.15695
1.899986982,1.5633541,42.7884903,23.022528,7.805898,16.538755,15.560027,176.92273,179.1208344,177.5932617,174.56195,177.47276,168.13228,173.86006,153.747
1.951009512,1.202196,42.50093842,22.32685,12.902219,16.237679,15.428213,176.30598,179.944046,178.480423,174.06976,177.271,166.8209,179.44327,171.6285
2.000101328,0.69436157,37.25405502,22.645067,4.7662907,16.165426,15.317696,176.31738,179.8154755,179.1595306,173.49503,174.69499,166.01128,178.15144,178.6533
2.055028915,1.1145202,37.80765915,23.13533,0.26019627,16.52805,15.966563,175.4763,179.6033478,178.9146576,173.7191,174.37268,164.38474,175.03645,178.87047
2.099916935,0.6549155,31.75416565,24.46307,5.1031528,16.939991,16.509949,176.11264,180,179.4983521,173.51048,176.12402,164.76709,174.17592,174.40681
2.149985075,2.5721483,6.783302307,26.60885,31.372984,16.936089,16.595741,176.447,179.511795,179.3379517,173.66884,176.91554,165.4548,179.2651,173.03854
2.199941874,4.042686,4.067941666,28.1078,41.97089,17.15038,16.902702,177.18852,179.5984497,179.6749268,173.85378,179.002,165.67558,176.87512,173.74005
2.249950647,4.2699876,7.065246582,28.142963,42.321926,17.232,16.99123,177.36053,179.5010834,179.7195129,174.05324,176.68695,165.93454,173.2925,170.57883
2.298651457,3.3874354,6.151571751,27.919128,38.292004,17.178833,17.040617,177.83824,178.7345123,179.6847076,173.79564,174.43777,166.5274,171.94208,168.7451
2.348656893,0.0656106,3.630922794,26.231426,34.742027,16.70746,16.74779,178.2573,177.6256104,178.7080383,173.33496,173.05244,167.43321,173.1682,171.62967
2.397432566,2.4237394,1.150970817,24.376822,31.46352,16.490664,16.659721,178.11902,178.0108185,177.9122925,173.85703,172.78693,168.42204,177.31903,176.94545
2.450960398,4.2752132,2.860607386,22.237549,30.533987,16.370749,16.692593,178.39075,177.8240814,176.8195953,174.27031,172.1426,168.69598,179.07718,179.05186
2.500904799,8.183429,2.343682051,19.700977,33.756596,16.080732,16.56139,178.63684,178.1520844,176.3519592,174.66696,170.06729,169.75696,174.02715,177.74457
2.550970078,9.413399,1.727144122,19.673811,34.563847,15.909765,16.403456,178.43227,178.3386841,176.0278778,175.02968,169.30832,171.12323,173.53445,177.08939
2.60093832,10.024659,1.298599482,19.83163,34.37001,15.733779,16.370518,178.45224,178.4866333,176.1340942,175.12347,169.26305,171.86076,173.22014,178.9903
2.649973154,9.911215,1.881696105,20.090855,34.09161,15.776316,16.395351,178.637,179.0166168,176.3056641,175.30508,168.82625,172.75026,173.8462,178.01968
2.702052832,10.045296,2.552823067,20.032076,33.08145,15.819931,16.459017,178.92279,179.0418091,176.2620392,175.62578,169.13463,172.11365,174.4322,174.33884
2.754070997,10.699321,0.630250037,20.549047,25.313782,16.037783,16.702778,179.44467,178.0962677,176.5445251,175.39108,169.45847,172.71855,173.42346,173.27034
