time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
8.483165264,37.272396,48.70039,21.154385,1.5763186,12.92825508,12.103201,174.82236,178.6971741,178.53099,170.6632843,159.28506,160.59813,179.10649,167.68062
8.53220582,37.17884,45.865097,22.506794,1.4170649,12.49911594,11.975411,175.16202,178.6674805,177.70142,170.9611969,152.09859,152.39772,178.4059,165.40614
8.582163095,38.329594,45.388622,24.220663,1.3073103,12.29683495,11.933451,174.97464,179.0442657,177.0061,171.4510651,152.95157,152.52094,178.89235,165.72513
8.631145954,37.664997,41.381786,9.453986,1.214987,8.896026611,8.407024,175.14778,177.107254,178.25514,176.6623993,155.07175,147.65205,170.57083,149.84575
8.682179689,35.81631,39.880127,5.8814664,0.7127181,6.212208271,5.901163,175.86255,177.0606842,179.10255,177.6083679,150.74399,131.27982,168.3312,150.54338
8.734354973,31.08329,43.907875,14.202965,1.1688536,6.152814388,5.5976214,175.45502,175.0055695,178.42503,178.7252655,148.1265,130.33856,176.98544,150.82129
8.786266804,38.898987,80.559654,33.042313,17.965637,5.730118275,5.300789,175.96254,172.6626892,177.66434,179.3367615,147.59381,138.34648,163.81389,149.31342
8.834547997,103.20443,92.21562,54.03393,38.38645,5.545669079,5.078174,176.37349,174.609024,177.2225,179.9314575,144.13062,139.20541,145.16118,159.41927
8.88536787,107.280495,130.82104,40.3623,53.564335,4.692062378,4.3509564,175.62224,176.4268494,175.73312,179.9720154,149.04085,135.34534,168.593,159.8552
8.934890747,126.45357,156.22333,49.45937,73.252304,4.559175968,4.4994097,175.73225,177.2072601,176.79599,179.2519073,146.55083,131.70665,177.09027,160.47491
8.98422122,142.83182,150.75237,65.49685,69.1726,4.766783714,4.7204494,175.72203,176.9715118,176.11873,179.8133698,148.25023,135.95096,172.94688,164.79796
9.0342803,147.36722,158.82536,67.84855,72.10232,4.928354263,4.8695693,175.43503,177.2682648,175.65182,179.9604187,149.72433,136.78065,174.60492,157.0176
9.085314512,140.12213,153.02441,67.93279,68.620346,5.077325344,5.028898,174.67435,177.0100861,174.71657,179.7963257,146.79599,135.02745,150.58401,167.06647
9.138239384,127.34705,143.74771,63.015705,63.671574,5.544608593,5.523574,173.45146,176.2867432,173.72342,179.3684998,147.01964,132.52333,162.6042,170.9342
9.183813572,123.10272,141.48756,63.518085,62.242966,5.87906599,5.7709846,172.92343,174.8897095,173.56091,179.5912018,143.69095,131.10608,163.6247,173.23293
9.235215902,122.58573,139.71669,59.76088,63.952034,5.646876812,5.5043817,174.36044,174.7154236,175.03326,179.3397217,144.19514,135.64122,95.13108,177.30156
9.285182238,91.11893,103.24518,57.45635,52.596455,5.962462902,5.730494,177.04395,174.5115356,178.0056,179.1879425,142.35188,130.1452,147.33167,126.95238
9.335198641,54.72552,79.14598,34.866882,32.475677,6.407196522,6.0580597,176.32266,175.437027,179.37068,176.9300385,142.54643,132.71309,170.46222,159.99458
9.38497448,45.158085,72.0316,16.032999,21.810188,6.781567574,6.3457894,176.40701,175.5076447,179.67674,176.220993,142.21129,133.37584,173.7848,155.74425
9.436182737,34.01573,61.982502,8.732281,18.866817,6.967957973,6.319162,177.0323,176.1260529,178.85277,176.4299164,139.88966,135.8932,123.540985,153.1002
9.483308315,37.547165,59.31256,11.091996,16.846762,7.482359886,6.7801504,176.69405,178.7035065,178.93118,174.7242126,144.52008,140.56169,175.72917,158.01395
9.536224365,38.867397,58.238327,12.416128,13.277731,8.697548866,7.8920994,176.6621,179.0098724,178.92369,173.245224,150.33995,154.36902,177.3855,161.98312
9.586322784,33.817894,52.98469,15.683563,7.348041,11.0175848,10.101995,175.84465,179.8601074,179.43352,171.7571259,156.79619,156.9059,169.28716,168.86569
9.635332823,32.485443,51.122128,18.965576,6.3723063,11.7853384,10.891516,175.70242,179.5514984,179.2569,171.0322266,162.10768,159.85771,166.49596,171.77681
9.684656858,31.259226,50.788765,17.83232,4.7851596,12.57565308,11.709084,175.86185,178.5263214,179.20302,171.0612183,163.19485,162.40129,166.92455,170.69229
9.735212803,31.337818,50.75563,16.879711,4.1689887,13.30973625,12.379048,176.09518,179.0589142,179.97202,171.3405762,163.26321,160.47198,166.68033,171.96994
9.785185337,31.157345,49.667694,18.41251,2.2472472,13.26319504,12.396464,175.85399,179.537735,179.39218,171.9211426,163.91963,159.62798,163.2877,168.46127
