time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
2.371329784,3.1680496,2.1949043,24.71075,56.302563,15.762418,15.582203,179.7797089,171.95026,176.7186,172.88509,178.14163,175.04372,176.33199,159.5421906
2.410640955,3.7226272,2.9551232,25.770365,56.225506,15.7659,15.654657,178.058197,171.39482,175.25095,172.47772,178.18016,175.35771,175.30655,162.2169495
2.443378687,5.3989515,6.016888,25.70525,55.590836,15.772434,15.676323,178.7533569,172.00858,175.15768,172.58728,176.06915,176.69292,177.5188,160.592514
2.486732244,7.8806,5.1158457,24.413517,48.146667,15.471479,15.472068,179.2872772,170.71545,175.16588,172.60133,174.1071,178.68268,171.7498,167.6128235
2.525216579,10.279806,5.5899487,22.808655,43.26391,15.43413,15.472299,179.9343872,171.11313,175.76718,173.23798,173.90646,178.41476,174.5351,167.2508392
2.562588215,12.211978,5.8624053,22.26071,39.23294,15.487819,15.522912,179.4174957,171.9067,174.71497,174.2416,173.36334,178.41266,178.30222,166.3014526
2.601160526,14.427657,5.156207,20.540592,34.942642,15.502521,15.588596,179.3227539,172.3157,174.16798,174.5263,170.19778,179.71332,178.15358,166.89888
2.638319492,21.219246,2.3926105,13.390786,27.793423,15.2395735,15.759286,179.2859039,171.93364,173.53595,174.33078,169.72064,179.20009,170.24467,178.3613434
2.675997972,25.462406,3.4441233,10.448507,25.035858,15.058462,15.668561,179.0641174,172.2077,173.09976,174.29758,168.82541,177.80536,167.94221,179.8573456
2.71513176,26.727049,3.796688,9.375362,23.004934,14.913171,15.549012,179.2015533,171.5899,172.96144,174.23346,171.14957,174.71405,166.66846,177.8623657
2.753069162,28.950127,3.9486842,8.148229,20.882101,14.576553,15.332853,179.1771698,171.5947,173.02533,173.74084,173.02419,167.64722,165.16982,173.51091
2.782869339,30.942514,3.7217858,5.9549294,17.878786,14.270273,14.980568,179.0930176,171.3339,173.10394,172.83159,172.51837,168.30334,165.29791,173.2505188
2.8190732,30.774475,3.9855583,2.3152828,13.014142,14.012459,14.790917,179.0951691,171.04002,173.88197,171.82309,174.86942,167.28671,167.35403,171.2097015
2.868473053,30.010565,8.650902,0.6404136,12.272936,13.886872,14.620643,178.6560669,170.11365,173.97995,171.18481,174.4029,168.9182,168.4485,162.3069
2.905671597,29.420683,11.70198,1.5810293,11.334942,13.920045,14.581111,178.3173828,169.9927,174.07936,169.93196,174.88307,171.82698,166.07681,142.9785309
2.942862988,27.83492,44.616776,0.4772439,7.171459,13.448983,14.655833,178.3636017,168.48906,174.34892,168.99521,174.90263,172.89882,166.73706,117.4552155
2.982782841,27.64055,139.06384,0.6431576,4.19129,13.705051,15.014748,178.7326508,172.49696,175.17671,171.76233,175.03294,176.85252,167.11343,100.2361145
3.023993969,28.19549,149.30237,0.16785878,4.034588,14.092712,15.336016,178.7106171,171.33633,174.82823,170.56761,176.3217,178.12454,167.41956,174.8897705
3.074873924,28.660189,147.48076,0.027976453,3.4794714,14.320631,15.603788,179.3787994,173.43483,175.37656,171.79698,176.12181,179.10103,167.27069,160.8482666
3.112918854,28.537798,152.5489,3.159015,3.7775571,14.447204,15.9506645,179.3819733,176.86299,175.777,173.13054,174.46054,174.16658,166.53961,152.1537323
3.151189089,25.927235,147.21039,11.251917,4.0429764,14.725199,16.938972,178.3236694,179.10649,176.4205,174.89972,172.60121,171.85605,166.27405,136.4407196
3.188310146,21.758038,158.54536,16.541441,14.3643465,14.873829,17.238247,175.4339447,179.771,172.76701,174.93921,175.42088,171.94713,172.1966,157.1484528
3.228590488,13.673333,169.22226,21.77919,23.699856,15.228045,17.274914,177.6473083,179.8002,175.3977,174.44453,174.10042,170.46318,176.59952,161.7633514
3.267000198,5.656864,150.27527,26.242739,32.161907,15.325038,16.69673,179.6368408,179.08015,177.62527,174.20734,176.02426,171.50136,171.11597,82.49011993
3.305100918,1.2026842,7.760456,26.433847,57.673225,15.146885,16.298962,179.4909973,179.31728,177.28595,173.7351,179.62779,171.73431,170.54926,166.3295441
3.339119434,3.0447826,6.8967113,28.78287,69.48969,15.806923,16.057487,178.1883392,173.55316,177.29274,170.01286,177.94565,174.77115,169.4054,159.3093872
3.371065378,0.5308178,0.08846932,26.180225,64.67501,15.869537,15.826256,179.6967316,176.47908,177.90312,173.34088,175.15915,175.01645,175.83842,167.5581207
3.420725822,0.6946433,1.5490183,24.875875,61.4518,15.975885,15.914025,179.1493378,173.09605,177.82182,172.3111,174.94545,176.27968,177.20502,171.8141632
3.459793329,2.2779558,4.123788,23.737602,59.26872,16.049387,15.91979,177.988205,175.91998,179.53102,174.64198,175.09894,174.78992,176.01698,174.2766724
3.50166297,2.5952547,1.7786126,23.823996,61.614143,16.198,15.927471,177.4150848,178.02354,179.94064,175.83932,175.72464,173.18672,171.80591,172.1425934
3.541901588,2.9767718,1.3949349,23.856392,62.23939,16.284218,15.961149,177.2228546,179.13837,179.94064,176.43602,176.79782,172.08119,171.366,171.8938904
3.569071054,1.6285872,2.0483217,23.712206,63.11927,16.215397,15.937138,177.3817444,179.93146,179.92337,176.69008,176.43915,170.93495,176.57245,172.3250732
