time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
3.245726109,32.714436,49.731014,15.65438,28.34664,12.387568,12.722143,176.61887,179.8717957,177.74066,174.7424469,162.34132,154.7995,169.41035,159.62085
3.297037125,36.28328,97.75559,23.941288,22.724445,12.136124,12.62945,178.32018,179.1113129,177.61082,174.5683594,157.20143,138.69363,168.69687,153.52599
3.347007036,36.968746,114.58062,26.10362,22.082745,12.686101,13.379751,178.99127,178.1946259,177.18268,173.9492493,152.64014,140.5261,169.41391,138.32938
3.398047447,37.288418,120.48081,24.560604,23.761606,13.150849,13.879145,179.2848,179.5629883,177.3095,176.2539215,153.18379,138.96368,169.4539,142.96356
3.447028875,38.71629,119.20935,24.729845,27.230276,12.385755,13.17294,178.09668,176.085022,176.36234,179.5907288,147.3288,135.61316,167.4122,150.28563
3.496348858,40.400486,116.07814,23.053165,30.381592,10.317896,10.945299,177.52249,175.0931396,176.50984,179.3601837,141.3499,126.09908,168.09084,150.6472
3.548146009,44.820312,113.50269,20.058659,33.991993,7.1416345,7.5770674,179.00612,175.0870056,177.3555,179.5326843,140.37805,117.36435,163.25418,143.12003
3.600064039,61.74089,51.882824,27.080362,11.255573,2.3846622,2.4596517,177.14746,176.9273682,179.21965,177.661911,133.17429,112.30429,177.06334,158.75598
3.649002314,94.925316,70.88727,52.502853,46.778023,1.8325891,1.9126431,177.34184,179.8813019,179.7451,174.2108307,125.30532,114.08281,124.01505,120.33399
3.698049545,85.322754,81.33287,65.07303,56.060883,4.2192793,4.280844,179.24591,179.5794067,178.61476,173.4452362,132.05301,124.98364,129.04779,156.91753
3.74702692,159.06538,69.53744,91.61328,55.276127,3.0794332,3.1492703,177.36307,178.995163,175.77194,174.3142242,138.8338,127.23717,52.206272,168.58286
3.801161766,174.44182,65.775536,89.37655,55.138992,3.2386374,3.2919393,175.9357,177.7126923,175.20175,174.1700439,142.4403,131.01666,69.44591,172.6255
3.849030256,113.37837,98.159386,86.481514,59.52737,4.1453867,4.2850056,178.09093,179.3845062,178.57411,174.8987122,142.59143,131.06087,131.98207,153.50696
3.899001598,60.606335,88.502075,62.9869,62.664665,5.1492863,5.0527234,178.26088,176.7592316,177.82831,173.5479889,141.67567,132.63727,147.40038,153.29918
3.948996544,52.517574,86.94012,56.39295,57.928135,6.389146,6.0278583,178.46442,176.9257202,177.37645,173.255249,141.10124,129.49455,151.79156,151.32178
3.9970963,47.57473,83.15755,54.02275,56.96949,6.4313273,5.9619694,179.03287,176.8135681,177.93245,172.9998169,143.5716,132.77275,163.80028,161.09584
4.049020767,48.74104,79.85864,46.14446,51.78339,7.7393603,7.093456,179.42732,177.8634644,177.396,173.8665466,142.5046,133.36835,162.76855,159.9121
4.096978664,38.066944,75.33571,24.250803,33.552998,7.469814,6.7272115,179.00337,177.8282166,179.34508,174.0391388,139.9822,132.74672,166.65742,154.73882
4.14906764,58.90115,59.887245,4.1513824,22.323263,5.927346,5.2112417,177.52646,178.8529358,179.27153,174.402298,139.57082,134.29623,142.83257,161.4189
4.20206666,51.0179,50.677494,5.8683534,14.033642,5.7854686,4.9733872,176.70425,179.5339508,178.59346,175.542038,139.93652,133.23314,141.45697,163.28946
4.249022007,38.538925,50.283108,8.144518,16.81997,10.694169,9.672314,176.45772,176.3663177,178.97588,171.5627441,151.92409,140.89642,160.1592,149.05519
4.298078537,35.593967,53.18417,8.32796,22.256996,11.706896,11.149912,175.86415,177.1364441,178.97073,171.200058,163.70905,148.29716,165.74663,148.23688
