time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
8.733222961,15.792687,12.019081,20.936913,25.346367,15.83099,16.343428,179.1544189,178.35704,175.37775,176.74074,169.58926,174.88943,164.54752,171.91068
8.783278942,20.773722,10.525885,20.028587,27.203798,15.293554,16.13836,179.0936584,177.91399,175.44928,176.3422,169.04912,175.33002,160.61934,172.46086
8.833180428,27.80984,8.8307295,13.307674,27.542631,14.983037,16.036472,178.7133484,178.537,175.35577,176.27527,166.80919,175.5072,161.2514,177.60878
8.884199381,37.91872,6.7693524,10.642276,28.689314,15.044287,16.032417,179.8829498,178.24464,176.6668,175.96735,166.41287,176.00858,158.13698,178.41748
8.933178902,47.532784,2.0237138,6.057477,30.468039,14.754876,15.801807,179.8071747,177.99844,177.24202,176.16957,166.236,178.48715,153.89066,178.22977
8.983209133,48.00844,0.35772744,4.1610417,30.838566,14.609801,15.588596,179.7146912,177.64456,177.61508,175.96336,166.35608,178.83316,157.12202,173.86102
9.035243273,42.447052,4.089931,2.1853423,32.383945,14.033768,15.153471,179.3544006,176.24478,177.6853,174.4269,165.87634,176.83727,171.19225,179.35411
9.083218336,42.475105,5.639827,2.254204,32.151337,13.88646,15.137537,179.2916718,176.08803,177.55975,174.07806,164.25372,177.40897,169.09119,177.09714
9.135249853,41.407757,4.7429295,2.2230794,30.515804,13.868719,14.908965,179.1646576,175.91103,177.55936,174.13692,163.51576,175.05338,168.57729,177.37326
9.18319416,40.758812,4.9160557,2.769444,30.30805,13.8968725,14.9293785,179.2417755,176.37263,177.5507,174.52087,164.21394,175.85797,167.3941,176.02122
9.235195875,39.734547,4.6714344,4.168801,29.591335,14.034881,15.077971,179.0925751,176.62344,177.67172,174.72527,164.10414,176.1508,166.59393,174.82645
9.282152891,36.622272,5.080913,10.747335,29.595755,14.084294,15.142872,179.0367126,176.69228,177.80374,174.7326,164.15251,176.4595,163.73773,173.95074
9.330912828,29.041447,4.1072755,16.793074,31.601635,14.463921,15.223325,179.2913971,177.03125,177.71492,174.33122,165.42964,179.90512,170.53192,177.9702
9.383210897,21.368355,3.5569935,22.406563,32.57516,14.889984,15.491988,179.3709869,177.60094,177.72409,174.6537,165.85359,178.11955,177.10808,179.82982
9.433203936,17.073856,3.228648,24.352846,32.14698,15.278632,15.747386,179.1322632,176.973,178.13744,174.70663,166.55692,176.43053,178.31204,179.03267
9.483165503,15.441083,2.3420947,24.243294,31.463583,15.400395,15.897252,178.7882233,176.2623,178.1349,174.96834,166.45789,177.64374,178.14807,179.97202
9.532211781,16.26594,0.97998685,21.603088,30.264812,15.583791,16.236162,178.8935699,176.10286,177.82677,175.33678,166.35092,177.17686,179.63416,177.28587
9.582195759,17.124498,1.7850927,20.500921,28.712887,16.009388,16.888203,178.9943848,176.87889,177.67938,175.80301,167.34251,177.05649,178.16698,178.44908
9.631109476,17.91982,7.7084365,21.656065,26.615171,16.405754,17.098742,179.8780518,177.72961,176.94621,175.77046,169.18155,174.1296,173.39578,177.0061
9.683174372,16.160679,10.23589,22.64662,25.974573,16.338293,16.92531,179.4201965,177.59294,176.75555,175.5423,170.54544,173.4194,174.06145,176.60788
9.732232809,15.205602,10.848723,23.162321,26.10113,16.335987,16.867735,178.9051361,177.71492,176.21529,175.82011,171.30066,173.46646,173.6712,178.9489
9.782189846,13.510984,12.239409,23.571922,25.771284,16.413345,16.82575,178.2118225,178.8208,175.56216,176.31001,171.32188,173.26105,173.573,179.4202
