time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
2.650013685,8.21683,12.492218,33.67945,14.310893,16.92003,17.675388,177.8135681,179.1343,178.92607,170.56631,172.4,166.49846,177.33868,172.300293
2.697993755,8.794797,9.129399,34.17102,15.785747,16.801098,17.565186,177.9100494,178.17435,179.33559,170.63272,172.30789,167.30142,174.07758,177.0952454
2.748021841,3.8829231,3.297525,30.972908,22.091475,16.9535,16.971235,177.400528,179.50543,179.73904,172.26799,171.12782,166.10504,172.37328,170.5284119
2.797958612,1.5565798,0.9312522,29.161139,25.621914,17.28471,16.839302,177.2324524,177.85178,179.59602,173.35101,170.98802,166.64162,172.33762,167.0368652
2.847992897,1.1932099,0.89678437,27.467382,27.904976,17.196054,16.69473,177.66745,178.07033,179.42392,173.21921,170.74388,167.74652,175.37958,169.143631
2.899984121,2.9096622,1.8949621,25.310186,29.78409,17.011366,16.538166,178.1418457,178.79991,179.73238,172.76215,170.2434,169.30096,176.14928,170.4736938
2.949986458,3.4688203,2.0233269,24.754078,29.476738,16.924091,16.483082,177.7656708,178.5685,179.5207,173.18309,170.76176,169.23285,176.6705,171.5572815
3.000011444,4.894769,3.283066,22.799437,30.832829,16.749567,16.468885,177.916153,179.25165,178.66234,173.35727,170.53946,169.34697,178.23175,169.5555725
3.051045656,10.915907,7.9160404,14.237025,32.32047,16.510214,16.342394,178.8287964,179.38419,178.74663,172.30246,169.11617,170.73676,173.79634,159.4484558
3.097975254,13.782816,8.274764,11.7161665,32.673443,16.016657,16.200912,178.706665,179.37254,178.14893,172.42958,169.18181,170.22899,172.07538,161.0584412
3.148005009,14.437906,8.1769,11.325485,33.68685,15.990544,16.390995,178.2770386,179.62102,177.7316,172.79695,170.04848,169.26236,173.0105,163.7626801
3.198048592,13.929411,10.036365,11.93918,33.656834,15.937898,16.570972,178.8694305,178.60757,177.59856,173.63649,168.32275,172.89943,176.23282,158.3508911
3.247994661,13.319138,15.8856535,12.810529,31.110489,15.94972,16.784857,179.4524689,178.50444,177.68538,174.6912,167.26747,174.3493,177.39008,153.4178772
3.298005104,13.052075,30.54678,16.082668,26.606953,15.598442,16.528002,179.0170135,177.85925,177.25739,174.54564,167.46252,173.90141,176.42729,152.5935974
3.349044323,13.848402,158.4714,17.938635,26.294853,15.315743,16.263123,178.9524536,176.95128,176.75453,173.66388,165.12729,175.11267,173.61176,44.10578537
3.400013685,12.126487,174.24077,23.35131,22.313156,16.059118,16.998089,178.4671021,177.5405,176.49037,173.83171,164.06023,174.636,172.56126,74.53949738
3.448977232,10.459331,166.95215,25.19622,18.989983,16.486404,17.324526,177.8394165,177.42032,176.40178,173.37616,165.29892,175.50462,173.20554,144.5428162
3.498960257,8.239952,175.67775,27.449821,17.655952,16.28194,17.48023,177.1908264,177.55182,176.25293,172.39754,169.1581,173.34412,175.03575,177.6459656
3.547965765,3.5990748,164.5362,31.163343,17.93348,16.087599,17.52598,177.0863647,177.63551,176.3183,170.70247,168.09372,171.48274,176.08388,146.631012
3.599013805,0.7540734,26.410633,30.907734,15.923091,16.52446,18.105974,175.8070221,179.48564,176.08647,172.13791,172.96521,167.8144,179.79251,152.0209961
3.649043083,0.20558421,7.655245,28.869757,13.688364,16.960106,18.096676,176.3440247,179.72446,178.06923,171.71812,172.65817,167.06267,177.82498,174.7224731
3.700007915,1.6229297,8.004275,27.972952,12.880682,17.135931,18.099962,176.4875793,179.85329,179.45679,170.52156,173.54602,165.95207,177.518,173.2142029
3.749023438,2.6006794,11.408933,27.624622,13.804631,16.888556,17.876059,176.7964172,179.54802,179.95575,169.92319,173.82005,165.60005,177.39104,171.548172
3.79685998,3.1629784,12.824829,27.422916,13.000957,16.69188,17.493788,177.055954,179.58081,179.64445,169.975,174.6657,166.293,176.208,170.1135864
3.847995281,3.3543296,12.744377,27.092146,12.131347,16.671274,17.395523,176.3947754,179.70992,179.43906,170.27538,178.44794,164.74217,177.33316,170.6992493
3.897987366,3.5927587,13.123847,27.60451,12.189225,16.691914,17.370787,175.9546356,179.6872,179.3271,170.0589,179.0585,164.46797,177.71715,169.7263184
3.94798398,3.3911326,9.986507,28.25181,12.961306,16.612352,17.503977,176.695343,179.96042,179.49486,170.11324,176.55087,165.80702,176.82681,172.7759552
3.997975111,3.4862738,8.835311,28.54228,14.343063,16.621155,17.426842,176.7449493,179.28783,179.88295,170.83916,174.26878,164.93858,176.25398,172.219635
