time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
7.800864935,44.83905,54.55788,38.19443,45.985184,1.9831737,2.1249514,176.6232,177.6295624,177.3127,178.4897308,125.81369,116.210815,152.6238,154.99973
7.848840237,46.786736,56.858337,37.036205,45.88596,1.4971097,1.623653,177.00264,176.7313843,177.96509,177.777359,122.20456,110.2883,160.30089,160.23128
7.899006844,47.01091,57.21282,34.171677,43.433704,0.51510286,0.6006827,178.23076,176.3388977,179.60484,177.4836121,126.138435,113.01611,178.98259,155.89465
7.947767735,45.27885,59.571815,30.331045,39.702366,1.5205847,1.5646054,179.8601,176.8428345,177.93161,175.9707947,130.26746,116.528786,169.39568,156.38797
7.999862432,50.974377,56.23753,17.506645,22.701616,4.1195116,4.1568513,179.96573,177.9150238,176.46475,177.1890869,132.0983,116.01599,154.23825,169.68353
8.051681995,45.122837,58.346806,15.687846,19.282068,6.7860203,6.6914034,179.2569,179.3709869,179.749,176.0631256,134.641,129.2714,169.21722,179.31929
8.099938869,39.91157,63.66475,12.8361635,20.891068,9.585501,9.380413,178.5541,177.4800415,178.72282,173.9631958,152.61707,146.93835,170.03256,176.39233
8.148034573,38.339916,57.619896,10.852116,10.846601,11.09386,10.831254,177.27933,177.6304779,177.31255,173.7858276,164.61221,151.52406,173.13007,178.92717
8.197879076,39.57098,47.217464,17.40266,12.973603,12.963469,12.480356,175.71951,179.3816376,177.39383,174.0891113,168.86607,156.85655,178.23607,176.65028
8.24885416,42.60485,46.017666,22.118809,21.484232,13.509684,12.866258,175.80295,179.3056183,178.23375,174.0839081,167.25594,155.01086,178.84106,176.8077
8.297852039,45.116116,51.618725,26.241362,33.52027,14.512489,13.667018,176.30243,178.3083344,177.62793,174.9362335,172.06273,160.41545,173.46974,172.21362
8.3488276,46.925682,58.631325,30.933765,39.960438,14.203841,13.228303,176.10936,179.5549927,177.46703,172.8922577,170.9883,161.42757,177.16565,177.66719
8.40142107,49.628094,65.91692,34.634888,42.401127,13.9406,13.121231,176.11072,178.6597137,177.11064,172.3897705,169.77983,160.7352,177.52464,176.48814
8.451946259,51.255383,74.28908,36.78956,43.85791,14.058955,13.351875,175.59103,179.1327057,176.95874,173.5470581,164.92677,160.80827,175.88782,176.50189
8.499846697,52.441006,82.33435,38.530884,44.772614,13.954273,13.377848,175.48077,179.6194763,175.66248,173.945755,168.44379,158.49692,176.28516,168.71002
8.550927162,56.320396,95.77686,40.509544,42.880547,13.706492,13.266247,175.99658,178.8439331,174.10349,176.6838226,161.49648,150.0309,174.47507,152.14038
8.597854614,56.815483,102.2685,38.743847,41.969803,12.695008,12.560791,176.01375,175.0447998,172.77196,178.8373413,145.27393,127.21296,176.11505,157.86487
8.651830912,58.266785,118.33802,29.772469,3.3568966,2.9790723,3.4908757,176.81787,172.14534,173.97089,178.7104645,128.26385,120.88435,168.05789,120.494705
8.699924469,37.243603,108.57709,18.895365,6.569487,4.3387856,4.2503114,174.83797,170.1543884,176.24896,177.7194672,129.08636,127.55638,177.25076,137.712
8.747822523,41.20076,54.614567,20.03097,17.09736,4.319966,4.118513,175.84894,174.7531128,179.60484,175.0828552,133.96758,133.6305,177.79247,179.30421
8.798873901,53.264877,61.397762,28.22296,37.455074,3.011684,3.0293772,177.6082,177.2957001,176.85228,171.6274719,129.73528,127.72217,173.20822,155.84877
8.848950624,53.821877,57.27142,27.34607,48.34975,4.044381,4.067412,176.56885,177.869339,171.63725,174.7072754,136.19476,125.046425,166.27924,151.72496
8.898822069,54.264854,54.723175,23.926926,45.049255,1.9442052,1.825849,177.74847,178.785965,172.91678,175.4770508,123.96433,119.14455,178.40726,156.03755
8.949781656,57.88432,54.856823,28.626963,38.81021,0.711894,0.63118076,179.92867,177.8480377,177.78954,176.2874756,120.77968,121.823586,168.84222,157.04553
8.998893499,49.615425,54.00336,27.605791,35.731037,0.74755794,0.7273927,178.5968,177.4871216,177.79318,175.8913727,118.3204,125.38053,173.2527,153.5352
9.048861265,47.566,53.737244,27.46051,34.767838,0.75303465,0.75043166,178.33998,177.5553436,177.96048,175.5219116,120.13458,125.950905,172.09644,152.28223
9.098846436,45.31229,53.14347,24.996826,35.11018,0.3599087,0.34830457,179.76675,177.236557,179.67253,175.7146606,117.13961,121.47058,173.66771,160.62195
9.147800922,43.576195,55.441086,25.153284,34.682663,0.6055493,0.52227056,178.07968,177.0381165,177.11472,176.0944977,115.995895,111.761444,171.0612,157.18372
